slide,labels,fold
feats_conch_slide/TCGA-LN-A4A8-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-LN-A7HY-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-LN-A4A4-01Z-00-DX1_0.pkl,6,5.0
feats_conch_slide/TCGA-V5-A7RE-01Z-00-DX1_1.pkl,7,7.0
feats_conch_slide/TCGA-2H-A9GF-01Z-00-DX1_1.pkl,7,4.0
feats_conch_slide/TCGA-2H-A9GR-01Z-00-DX1_1.pkl,7,4.0
feats_conch_slide/TCGA-L5-A4OG-01Z-00-DX1_1.pkl,7,4.0
feats_conch_slide/TCGA-L5-A4OW-01Z-00-DX1_1.pkl,7,3.0
feats_conch_slide/TCGA-LN-A4A9-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-IG-A8O2-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-RE-A7BO-01Z-00-DX1_1.pkl,7,9.0
feats_conch_slide/TCGA-L7-A6VZ-01Z-00-DX1_1.pkl,7,0.0
feats_conch_slide/TCGA-LN-A49M-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-LN-A49R-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-JY-A6FE-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-IG-A3YA-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-IG-A97I-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-Q9-A6FW-01Z-00-DX1_1.pkl,7,6.0
feats_conch_slide/TCGA-VR-A8EU-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-S8-A6BW-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-Z6-A9VB-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-L5-A4OE-01Z-00-DX1_1.pkl,7,0.0
feats_conch_slide/TCGA-LN-A8I0-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-2H-A9GG-01Z-00-DX1_1.pkl,7,6.0
feats_conch_slide/TCGA-JY-A93E-01Z-00-DX1_1.pkl,7,6.0
feats_conch_slide/TCGA-R6-A6XQ-01Z-00-DX1_1.pkl,7,2.0
feats_conch_slide/TCGA-VR-AA7I-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-LN-A7HZ-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-V5-AASX-01Z-00-DX1_1.pkl,7,9.0
feats_conch_slide/TCGA-JY-A938-01Z-00-DX1_1.pkl,7,7.0
feats_conch_slide/TCGA-L5-A4OU-01Z-00-DX1_1.pkl,7,2.0
feats_conch_slide/TCGA-LN-A5U5-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-LN-A49O-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-L5-A4OR-01Z-00-DX1_1.pkl,7,3.0
feats_conch_slide/TCGA-M9-A5M8-01Z-00-DX1_1.pkl,7,4.0
feats_conch_slide/TCGA-LN-A49V-01Z-00-DX1_0.pkl,6,5.0
feats_conch_slide/TCGA-IG-A5B8-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-IG-A3YC-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-VR-AA7D-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-V5-AASV-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-R6-A6L4-01Z-00-DX1_1.pkl,7,0.0
feats_conch_slide/TCGA-VR-A8ER-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-L5-A4OP-01Z-00-DX1_1.pkl,7,8.0
feats_conch_slide/TCGA-LN-A49U-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-LN-A4A1-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-R6-A6DQ-01Z-00-DX1_1.pkl,7,5.0
feats_conch_slide/TCGA-2H-A9GK-01Z-00-DX1_1.pkl,7,2.0
feats_conch_slide/TCGA-R6-A6KZ-01Z-00-DX1_1.pkl,7,2.0
feats_conch_slide/TCGA-IG-A97H-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-L5-A4OJ-01Z-00-DX1_1.pkl,7,1.0
feats_conch_slide/TCGA-L5-A43M-01Z-00-DX1_1.pkl,7,3.0
feats_conch_slide/TCGA-2H-A9GQ-01Z-00-DX1_1.pkl,7,2.0
feats_conch_slide/TCGA-LN-A49N-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-Q9-A6FU-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-VR-A8ET-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-LN-A49P-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-2H-A9GN-01Z-00-DX1_1.pkl,7,7.0
feats_conch_slide/TCGA-IG-A4P3-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-V5-AASW-01Z-00-DX1_1.pkl,7,7.0
feats_conch_slide/TCGA-LN-A4A5-01Z-00-DX1_0.pkl,6,0.0
